gvkey1,gvkey2,year
5063,10595,1985
5071,29942,1997
5071,197956,2015
5073,24910,1997
5073,5073,1998
5073,2019,1999
5073,25061,2000
5073,133469,2001
5073,5073,2002
5074,5074,1997
5074,141957,2002
5077,11474,1981
5079,13866,2000
5087,4944,1988
5087,3769,1995
5087,10379,2001
5087,10530,2003
5087,105365,2004
5122,10530,2000
5125,5028,1982
5134,5314,1990
5152,6429,1985
5178,5178,
5179,26523,2006
5180,2616,2001
5180,1478,2005
5180,134685,2007
5180,134685,2007
5180,24179,2009
5180,2403,2016
5229,3200,1999
5229,2285,1999
5229,8972,2000
5229,61988,2001
5229,28838,2010
5245,1512,1982
5250,1604,1983
5250,3014,1985
5250,4244,1986
5250,19429,1994
5250,137801,2003
5250,4060,2013
5252,15267,2006
5253,11688,1988
5256,65345,2009
5284,11278,1999
5284,15337,2005
5285,4084,
5301,9680,1987
5301,2323,1989
5321,4654,1983
5338,9815,1999
5357,13125,2008
5378,9584,1984
5378,4452,1984
5399,1603,1985
5399,25066,1994
5399,25175,1995
5399,61751,1997
5399,61160,1997
5399,12848,1997
5399,12636,
5399,61039,
5417,17324,1994
5417,17019,1998
5417,25698,1998
5417,30780,1998
5417,29315,1999
5417,15598,2001
5420,61378,1997
5420,31611,1998
5439,5012,1988
5439,30064,1997
5439,4073,1998
5439,25655,2010
5439,25030,2012
5464,7374,1981
5464,12204,1996
5464,8068,1999
5468,4789,1985
5475,20553,1995
5475,8414,2002
5475,163042,2005
5475,163042,2005
5476,28756,2000
5476,13824,2004
5486,13486,
5492,6590,1984
5492,63073,2000
5492,64682,2001
5492,105251,2006
5492,13329,2007
5492,189490,2015
5496,61902,2007
5501,9645,1988
5501,16988,1994
5501,17154,1994
5501,14308,
5518,6171,1997
5518,4975,1998
5520,30862,2004
5543,150044,2006
5543,160378,2011
5543,62967,2013
5549,15315,1990
5553,5909,1985
5553,5909,1985
5555,7686,1983
5557,13422,2001
5560,3808,1981
5560,8942,1984
5560,7196,1999
5560,19565,2008
5560,22650,2016
5563,8252,1983
5564,10060,1987
5567,7017,2006
5567,163113,2010
5572,8762,2016
5589,9734,1983
5589,2190,1998
5589,65350,1999
5592,9642,1981
5594,5070,1999
5594,4058,2004
5600,5600,2012
5606,1692,1989
5606,1905,1992
5606,12654,1996
5606,61948,1998
5606,124177,2001
5606,141957,2007
5606,28078,2007
5606,5074,2008
5606,176781,2015
5606,18975,2017
5608,5589,1996
5619,5619,1998
5626,19427,1998
5643,63507,1996
5643,31475,1998
5643,24530,1998
5643,60904,1999
5671,6814,1984
5671,10768,1994
5671,25863,1997
5671,25863,1998
5680,7646,2001
5680,2049,2006
5680,163876,2006
5690,6025,2008
5693,10473,1982
5693,5854,1984
5693,29065,1996
5697,30283,1999
5699,1588,1982
5709,62488,2001
5709,5071,2005
5709,10845,2013
5718,5556,1985
5723,5723,1997
5723,3504,1997
5723,12124,1997
5723,5723,1998
5723,14447,2004
5734,12122,2003
5735,11273,1981
5742,155969,2002
5742,8113,2003
5742,2886,2005
5742,7852,2007
5742,5742,2007
5742,150277,2010
5742,5742,2012
5742,8113,2013
5763,5763,2011
5763,13189,2011
5764,5649,1992
5764,3497,2002
5764,186823,2013
5767,10457,1981
5786,10858,1983
5786,17034,1993
5786,16846,1997
5786,31276,2014
5798,11132,1991
5803,6223,1996
5822,3230,1999
5824,61326,2000
5831,3580,2010
5847,8972,2001
5851,13548,1987
5851,5851,1997
5860,6326,1997
5860,10010,1999
5860,7985,2003
5860,147660,2010
5862,13156,1998
5862,124042,2004
5878,2457,1990
5878,62241,1999
5878,4058,2001
5878,65345,2006
5878,23224,2007
5878,12384,2011
5885,1478,
5894,5354,1995
5894,5250,1997
5894,5589,1998
5901,29319,1999
5918,3814,2000
5918,7974,2000
5918,5918,2006
5920,5920,1983
5924,3295,1986
5959,3091,1995
5973,30696,1999
5976,4088,1987
